Name,Owner,Stars,Forks,Last Updated,License,URL
grok-1,xai-org,50236,8365,2024-08-30T04:17:25Z,Apache License 2.0,https://github.com/xai-org/grok-1
professional-programming,charlax,47414,3764,2025-03-08T20:02:34Z,MIT License,https://github.com/charlax/professional-programming
PaddleOCR,PaddlePaddle,47337,8072,2025-03-14T01:45:05Z,Apache License 2.0,https://github.com/PaddlePaddle/PaddleOCR
big-list-of-naughty-strings,minimaxir,47000,2152,2024-04-18T03:26:59Z,MIT License,https://github.com/minimaxir/big-list-of-naughty-strings
30-Days-Of-Python,Asabeneh,45079,8620,2025-02-11T09:58:01Z,N/A,https://github.com/Asabeneh/30-Days-Of-Python
pandas,pandas-dev,44834,18331,2025-03-14T15:03:10Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pandas-dev/pandas
Deep-Live-Cam,hacksider,44628,6584,2025-03-06T06:05:28Z,GNU Affero General Public License v3.0,https://github.com/hacksider/Deep-Live-Cam
LLaMA-Factory,hiyouga,44147,5400,2025-03-13T15:31:10Z,Apache License 2.0,https://github.com/hiyouga/LLaMA-Factory
browser-use,browser-use,43867,4448,2025-03-11T06:13:25Z,MIT License,https://github.com/browser-use/browser-use
Fooocus,lllyasviel,43778,6626,2025-01-24T10:55:35Z,GNU General Public License v3.0,https://github.com/lllyasviel/Fooocus
text-generation-webui,oobabooga,42877,5527,2025-03-14T18:00:59Z,GNU Affero General Public License v3.0,https://github.com/oobabooga/text-generation-webui
GPT-SoVITS,RVC-Boss,42308,4718,2025-03-05T10:22:01Z,MIT License,https://github.com/RVC-Boss/GPT-SoVITS
vllm,vllm-project,41455,6256,2025-03-14T17:30:16Z,Apache License 2.0,https://github.com/vllm-project/vllm
autogen,microsoft,41443,6166,2025-03-14T17:15:23Z,Creative Commons Attribution 4.0 International,https://github.com/microsoft/autogen
odoo,odoo,41267,26797,2025-03-14T17:38:02Z,Other,https://github.com/odoo/odoo
python-patterns,faif,41065,6959,2024-09-05T20:53:59Z,N/A,https://github.com/faif/python-patterns
ChatGLM-6B,THUDM,41020,5228,2024-06-27T04:05:25Z,Apache License 2.0,https://github.com/THUDM/ChatGLM-6B
ColossalAI,hpcaitech,40596,4478,2025-03-14T10:15:31Z,Apache License 2.0,https://github.com/hpcaitech/ColossalAI
stablediffusion,Stability-AI,40458,5183,2024-10-10T21:28:57Z,MIT License,https://github.com/Stability-AI/stablediffusion
diagrams,mingrammer,40402,2600,2025-03-14T01:37:20Z,MIT License,https://github.com/mingrammer/diagrams
ailearning,apachecn,40327,11518,2024-11-12T16:21:55Z,Other,https://github.com/apachecn/ailearning
sentry,getsentry,40280,4280,2025-03-14T18:04:16Z,Other,https://github.com/getsentry/sentry
markitdown,microsoft,40061,1871,2025-03-13T02:19:59Z,MIT License,https://github.com/microsoft/markitdown
nanoGPT,karpathy,40047,6583,2024-12-09T23:53:04Z,MIT License,https://github.com/karpathy/nanoGPT
llama_index,run-llama,39977,5696,2025-03-14T17:38:38Z,MIT License,https://github.com/run-llama/llama_index
black,psf,39918,2557,2025-03-06T02:26:01Z,MIT License,https://github.com/psf/black
airflow,apache,39159,14798,2025-03-14T17:44:28Z,Apache License 2.0,https://github.com/apache/airflow
cheat.sh,chubin,39092,1808,2025-02-01T13:32:00Z,MIT License,https://github.com/chubin/cheat.sh
bert,google-research,38836,9671,2024-07-23T23:39:41Z,Apache License 2.0,https://github.com/google-research/bert
TTS,coqui-ai,38424,4817,2024-08-16T12:07:14Z,Mozilla Public License 2.0,https://github.com/coqui-ai/TTS
mitmproxy,mitmproxy,38329,4133,2025-03-13T18:10:33Z,MIT License,https://github.com/mitmproxy/mitmproxy
streamlit,streamlit,38143,3312,2025-03-14T17:58:59Z,Apache License 2.0,https://github.com/streamlit/streamlit
FastChat,lm-sys,38108,4658,2025-03-01T06:43:01Z,Apache License 2.0,https://github.com/lm-sys/FastChat
WeChatMsg,LC044,38026,3917,2025-03-11T09:59:23Z,GNU General Public License v3.0,https://github.com/LC044/WeChatMsg
ultralytics,ultralytics,37921,7360,2025-03-14T15:33:29Z,GNU Affero General Public License v3.0,https://github.com/ultralytics/ultralytics
quivr,QuivrHQ,37525,3635,2025-03-14T15:10:35Z,Other,https://github.com/QuivrHQ/quivr
DeepSpeed,deepspeedai,37404,4298,2025-03-14T17:48:03Z,Apache License 2.0,https://github.com/deepspeedai/DeepSpeed
Open-Assistant,LAION-AI,37247,3261,2024-08-17T01:55:35Z,Apache License 2.0,https://github.com/LAION-AI/Open-Assistant
freqtrade,freqtrade,37236,7326,2025-03-13T19:44:20Z,GNU General Public License v3.0,https://github.com/freqtrade/freqtrade
python-cheatsheet,gto76,36961,6584,2025-03-09T23:23:51Z,N/A,https://github.com/gto76/python-cheatsheet
interview_internal_reference,0voice,36832,9463,2024-05-20T12:04:02Z,N/A,https://github.com/0voice/interview_internal_reference
gradio,gradio-app,36810,2794,2025-03-13T22:20:25Z,Apache License 2.0,https://github.com/gradio-app/gradio
OpenBB,OpenBB-finance,36777,3335,2025-03-14T17:55:21Z,Other,https://github.com/OpenBB-finance/OpenBB
GFPGAN,TencentARC,36429,6041,2024-07-26T18:44:02Z,Other,https://github.com/TencentARC/GFPGAN
wtfpython,satwikkansal,36074,2668,2025-03-06T07:35:23Z,Do What The F*ck You Want To Public License,https://github.com/satwikkansal/wtfpython
ray,ray-project,35991,6101,2025-03-14T17:51:26Z,Apache License 2.0,https://github.com/ray-project/ray
MockingBird,babysor,35949,5239,2024-11-15T05:00:29Z,Other,https://github.com/babysor/MockingBird
DragGAN,XingangPan,35883,3449,2024-05-18T17:51:40Z,Other,https://github.com/XingangPan/DragGAN
chatgpt-on-wechat,zhayujie,35683,9027,2025-02-05T04:27:07Z,MIT License,https://github.com/zhayujie/chatgpt-on-wechat
gym,openai,35585,8657,2024-10-11T20:07:05Z,Other,https://github.com/openai/gym
ChatTTS,2noise,35081,3792,2025-03-14T03:34:46Z,GNU Affero General Public License v3.0,https://github.com/2noise/ChatTTS
ccxt,ccxt,35074,7766,2025-03-14T16:35:05Z,MIT License,https://github.com/ccxt/ccxt
cli,httpie,35012,3695,2024-12-17T17:30:35Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/httpie/cli
unsloth,unslothai,34672,2622,2025-03-14T17:07:21Z,Apache License 2.0,https://github.com/unslothai/unsloth
HanLP,hankcs,34590,10431,2025-01-15T06:09:34Z,Apache License 2.0,https://github.com/hankcs/HanLP
TaskMatrix,chenfei-wu,34518,3301,2024-01-06T02:41:20Z,Other,https://github.com/chenfei-wu/TaskMatrix
OpenManus,mannaandpoem,33947,5388,2025-03-14T07:20:29Z,MIT License,https://github.com/mannaandpoem/OpenManus
jieba,fxsjy,33835,6729,2024-08-21T09:23:45Z,MIT License,https://github.com/fxsjy/jieba
shadowsocks,shadowsocks,33611,18523,2024-04-01T09:07:32Z,N/A,https://github.com/shadowsocks/shadowsocks
sqlmap,sqlmapproject,33565,5811,2025-03-14T12:59:45Z,Other,https://github.com/sqlmapproject/sqlmap
pytorch-image-models,huggingface,33484,4867,2025-02-23T05:07:06Z,Apache License 2.0,https://github.com/huggingface/pytorch-image-models
crawl4ai,unclecode,33325,2852,2025-03-14T13:36:28Z,Apache License 2.0,https://github.com/unclecode/crawl4ai
XX-Net,XX-net,33192,7668,2024-12-20T04:54:58Z,N/A,https://github.com/XX-net/XX-Net
poetry,python-poetry,32802,2335,2025-03-10T20:16:51Z,MIT License,https://github.com/python-poetry/poetry
Python,geekcomputers,32706,12446,2025-03-14T18:05:38Z,MIT License,https://github.com/geekcomputers/Python
gpt-pilot,Pythagora-io,32486,3304,2025-03-04T06:26:32Z,Other,https://github.com/Pythagora-io/gpt-pilot
certbot,certbot,32013,3426,2025-03-14T17:45:05Z,Other,https://github.com/certbot/certbot
ControlNet,lllyasviel,31736,2836,2024-02-25T09:49:39Z,Apache License 2.0,https://github.com/lllyasviel/ControlNet
jax,jax-ml,31639,2943,2025-03-14T17:32:50Z,Apache License 2.0,https://github.com/jax-ml/jax
detectron2,facebookresearch,31447,7602,2025-01-14T01:45:38Z,Apache License 2.0,https://github.com/facebookresearch/detectron2
OpenVoice,myshell-ai,31321,3156,2025-01-07T00:02:22Z,MIT License,https://github.com/myshell-ai/OpenVoice
fairseq,facebookresearch,31146,6489,2025-01-09T16:43:36Z,MIT License,https://github.com/facebookresearch/fairseq
spaCy,explosion,31126,4466,2025-02-03T17:32:33Z,MIT License,https://github.com/explosion/spaCy
Umi-OCR,hiroi-sora,30742,3098,2025-03-14T13:25:32Z,MIT License,https://github.com/hiroi-sora/Umi-OCR
manim,ManimCommunity,30609,2138,2025-03-13T11:06:29Z,MIT License,https://github.com/ManimCommunity/manim
mmdetection,open-mmlab,30515,9586,2024-08-21T02:01:07Z,Apache License 2.0,https://github.com/open-mmlab/mmdetection
linux-insides,0xAX,30421,3384,2024-11-23T18:42:33Z,Other,https://github.com/0xAX/linux-insides
Real-ESRGAN,xinntao,30032,3751,2024-08-06T13:15:18Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/xinntao/Real-ESRGAN
interactive-coding-challenges,donnemartin,30030,4510,2024-05-08T23:07:36Z,Other,https://github.com/donnemartin/interactive-coding-challenges
stanford_alpaca,tatsu-lab,29870,4053,2024-07-17T09:43:05Z,Apache License 2.0,https://github.com/tatsu-lab/stanford_alpaca
roop,s0md3v,29461,6662,2024-08-19T12:57:17Z,GNU General Public License v3.0,https://github.com/s0md3v/roop
tqdm,tqdm,29451,1375,2025-02-05T17:46:50Z,Other,https://github.com/tqdm/tqdm
aider,Aider-AI,29212,2650,2025-03-14T17:05:25Z,Apache License 2.0,https://github.com/Aider-AI/aider
pytorch-lightning,Lightning-AI,29125,3454,2025-03-14T17:15:12Z,Apache License 2.0,https://github.com/Lightning-AI/pytorch-lightning
CheatSheetSeries,OWASP,29072,4063,2025-03-11T20:37:56Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/OWASP/CheatSheetSeries
numpy,numpy,29019,10571,2025-03-14T17:11:55Z,Other,https://github.com/numpy/numpy
Hello-Python,mouredev,28943,1875,2025-02-28T12:39:35Z,Apache License 2.0,https://github.com/mouredev/Hello-Python
django-rest-framework,encode,28908,6907,2025-03-08T09:53:16Z,Other,https://github.com/encode/django-rest-framework
llama3,meta-llama,28507,3317,2025-01-26T21:39:06Z,Other,https://github.com/meta-llama/llama3
crewAI,crewAIInc,28403,3857,2025-03-14T15:04:35Z,MIT License,https://github.com/crewAIInc/crewAI
tinygrad,tinygrad,28354,3248,2025-03-14T15:18:33Z,MIT License,https://github.com/tinygrad/tinygrad
GPT_API_free,chatanywhere,28202,2065,2025-02-14T15:37:37Z,MIT License,https://github.com/chatanywhere/GPT_API_free
MinerU,opendatalab,28174,2178,2025-03-13T08:13:24Z,GNU Affero General Public License v3.0,https://github.com/opendatalab/MinerU
vnpy,vnpy,28106,9254,2025-02-12T12:54:44Z,MIT License,https://github.com/vnpy/vnpy
diffusers,huggingface,28022,5758,2025-03-14T12:03:16Z,Apache License 2.0,https://github.com/huggingface/diffusers
data-science-ipython-notebooks,donnemartin,27983,7945,2024-03-20T13:52:34Z,Other,https://github.com/donnemartin/data-science-ipython-notebooks
glances,nicolargo,27966,1554,2025-03-09T15:43:43Z,Other,https://github.com/nicolargo/glances
DeepFaceLive,iperov,27830,341,2024-11-08T03:07:42Z,GNU General Public License v3.0,https://github.com/iperov/DeepFaceLive
Retrieval-based-Voice-Conversion-WebUI,RVC-Project,27827,3944,2024-11-24T15:09:44Z,MIT License,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
textual,Textualize,27770,856,2025-03-12T18:28:52Z,MIT License,https://github.com/Textualize/textual
hosts,StevenBlack,27688,2284,2025-03-13T21:36:33Z,MIT License,https://github.com/StevenBlack/hosts
Jobs_Applier_AI_Agent_AIHawk,feder-cr,27590,4130,2025-03-14T12:01:49Z,GNU Affero General Public License v3.0,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-fire,google,27465,1447,2025-03-01T08:07:08Z,Other,https://github.com/google/python-fire
mindsdb,mindsdb,27327,4920,2025-03-14T14:55:50Z,Other,https://github.com/mindsdb/mindsdb
python-telegram-bot,python-telegram-bot,27130,5534,2025-03-09T15:02:24Z,GNU General Public License v3.0,https://github.com/python-telegram-bot/python-telegram-bot
redash,getredash,27067,4439,2025-03-10T10:10:35Z,"BSD 2-Clause ""Simplified"" License",https://github.com/getredash/redash
kitty,kovidgoyal,26681,1051,2025-03-14T01:19:54Z,GNU General Public License v3.0,https://github.com/kovidgoyal/kitty
khoj,khoj-ai,26657,1456,2025-03-13T20:44:12Z,GNU Affero General Public License v3.0,https://github.com/khoj-ai/khoj
cascadia-code,microsoft,26575,817,2025-03-06T03:26:32Z,Other,https://github.com/microsoft/cascadia-code
exo,exo-explore,26538,1608,2025-03-12T06:24:57Z,GNU General Public License v3.0,https://github.com/exo-explore/exo
spleeter,deezer,26519,2892,2025-01-24T14:14:40Z,MIT License,https://github.com/deezer/spleeter
ChatDev,OpenBMB,26449,3358,2024-12-30T06:37:25Z,Apache License 2.0,https://github.com/OpenBMB/ChatDev
jumpserver,jumpserver,26220,5417,2025-03-14T09:41:19Z,GNU General Public License v3.0,https://github.com/jumpserver/jumpserver
supervision,roboflow,26193,1976,2025-03-10T17:27:49Z,MIT License,https://github.com/roboflow/supervision
mem0,mem0ai,26135,2466,2025-03-14T16:37:47Z,Apache License 2.0,https://github.com/mem0ai/mem0
EasyOCR,JaidedAI,25908,3275,2024-09-24T11:24:36Z,Apache License 2.0,https://github.com/JaidedAI/EasyOCR
celery,celery,25805,4749,2025-03-14T08:35:38Z,Other,https://github.com/celery/celery
locust,locustio,25771,3036,2025-03-10T08:11:05Z,MIT License,https://github.com/locustio/locust
paperless-ngx,paperless-ngx,25718,1500,2025-03-14T18:05:43Z,GNU General Public License v3.0,https://github.com/paperless-ngx/paperless-ngx
MiniGPT-4,Vision-CAIR,25605,2925,2024-09-02T09:07:21Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/Vision-CAIR/MiniGPT-4
YouCompleteMe,ycm-core,25577,2797,2025-03-14T12:14:46Z,GNU General Public License v3.0,https://github.com/ycm-core/YouCompleteMe
wttr.in,chubin,25543,1125,2025-03-04T18:27:01Z,Apache License 2.0,https://github.com/chubin/wttr.in
generative-models,Stability-AI,25495,2830,2024-09-04T22:00:56Z,MIT License,https://github.com/Stability-AI/generative-models
MoneyPrinterTurbo,harry0703,25279,3684,2025-02-10T03:08:23Z,MIT License,https://github.com/harry0703/MoneyPrinterTurbo
d2l-en,d2l-ai,25245,4557,2024-08-18T08:02:36Z,Other,https://github.com/d2l-ai/d2l-en
openai-python,openai,25240,3674,2025-03-14T15:21:49Z,Apache License 2.0,https://github.com/openai/openai-python
pipenv,pypa,25003,1877,2025-03-10T08:22:52Z,MIT License,https://github.com/pypa/pipenv
Mask_RCNN,matterport,24994,11724,2024-06-07T02:36:21Z,Other,https://github.com/matterport/Mask_RCNN
posthog,PostHog,24949,1543,2025-03-14T18:08:07Z,Other,https://github.com/PostHog/posthog
GitHub520,521xueweihan,24938,2436,2025-03-14T18:07:42Z,N/A,https://github.com/521xueweihan/GitHub520
insightface,deepinsight,24554,5512,2025-03-10T08:57:02Z,N/A,https://github.com/deepinsight/insightface
PythonRobotics,AtsushiSakai,24480,6697,2025-03-14T13:18:44Z,Other,https://github.com/AtsushiSakai/PythonRobotics
algorithms,keon,24392,4654,2024-07-14T17:48:07Z,MIT License,https://github.com/keon/algorithms
Open-Sora,hpcaitech,24382,2395,2025-03-14T10:41:20Z,Apache License 2.0,https://github.com/hpcaitech/Open-Sora
Genesis,Genesis-Embodied-AI,24365,2115,2025-03-14T17:40:04Z,Apache License 2.0,https://github.com/Genesis-Embodied-AI/Genesis
Hitomi-Downloader,KurtBestor,24269,2226,2025-02-01T09:43:19Z,N/A,https://github.com/KurtBestor/Hitomi-Downloader
composio,ComposioHQ,24257,4361,2025-03-14T05:04:40Z,Other,https://github.com/ComposioHQ/composio
deep-learning-for-image-processing,WZMIAOMIAO,24241,8123,2025-01-12T03:36:29Z,GNU General Public License v3.0,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing
erpnext,frappe,24015,7947,2025-03-14T12:57:44Z,GNU General Public License v3.0,https://github.com/frappe/erpnext
JARVIS,microsoft,24010,2000,2024-09-26T06:43:22Z,MIT License,https://github.com/microsoft/JARVIS
docling,docling-project,23936,1395,2025-03-14T15:39:49Z,MIT License,https://github.com/docling-project/docling
pathway,pathwaycom,23783,340,2025-03-14T06:11:51Z,Other,https://github.com/pathwaycom/pathway
pytorch-CycleGAN-and-pix2pix,junyanz,23717,6400,2024-05-14T21:56:57Z,Other,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
graphrag,microsoft,23439,2350,2025-03-13T18:21:42Z,MIT License,https://github.com/microsoft/graphrag
ArchiveBox,ArchiveBox,23399,1241,2025-02-13T07:45:52Z,MIT License,https://github.com/ArchiveBox/ArchiveBox
labelImg,HumanSignal,23397,6398,2024-06-07T20:24:32Z,MIT License,https://github.com/HumanSignal/labelImg
storm,stanford-oval,23382,2025,2025-01-23T07:21:44Z,MIT License,https://github.com/stanford-oval/storm
cookiecutter,cookiecutter,23198,2051,2025-03-10T20:21:48Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/cookiecutter/cookiecutter
gpt-2,openai,23185,5622,2024-08-14T10:50:53Z,Other,https://github.com/openai/gpt-2
algo,wangzheng0822,23021,7066,2024-08-21T07:31:34Z,Apache License 2.0,https://github.com/wangzheng0822/algo
examples,pytorch,22833,9591,2025-02-09T16:56:58Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pytorch/examples
Awesome-Linux-Software,luong-komorebi,22826,2089,2025-03-11T02:59:23Z,N/A,https://github.com/luong-komorebi/Awesome-Linux-Software
NLP-progress,sebastianruder,22815,3624,2024-07-28T00:44:25Z,MIT License,https://github.com/sebastianruder/NLP-progress
pydantic,pydantic,22805,2046,2025-03-14T16:51:40Z,MIT License,https://github.com/pydantic/pydantic
marker,VikParuchuri,22804,1391,2025-03-14T01:46:54Z,GNU General Public License v3.0,https://github.com/VikParuchuri/marker
open-r1,huggingface,22790,2050,2025-03-14T08:38:43Z,Apache License 2.0,https://github.com/huggingface/open-r1
changedetection.io,dgtlmoon,22597,1229,2025-03-14T17:15:13Z,Apache License 2.0,https://github.com/dgtlmoon/changedetection.io
mkdocs-material,squidfunk,22466,3680,2025-03-14T09:01:55Z,MIT License,https://github.com/squidfunk/mkdocs-material
dspy,stanfordnlp,22440,1716,2025-03-13T21:30:43Z,MIT License,https://github.com/stanfordnlp/dspy
zulip,zulip,22429,8328,2025-03-14T18:07:33Z,Apache License 2.0,https://github.com/zulip/zulip
dash,plotly,22123,2121,2025-03-14T17:23:12Z,MIT License,https://github.com/plotly/dash
proxy_pool,jhao104,22089,5251,2025-02-13T05:35:58Z,MIT License,https://github.com/jhao104/proxy_pool
vit-pytorch,lucidrains,22052,3201,2025-03-05T18:50:39Z,MIT License,https://github.com/lucidrains/vit-pytorch
reflex,reflex-dev,22041,1283,2025-03-14T17:38:36Z,Apache License 2.0,https://github.com/reflex-dev/reflex
pytorch_geometric,pyg-team,22019,3782,2025-03-14T08:42:14Z,MIT License,https://github.com/pyg-team/pytorch_geometric
facefusion,facefusion,21958,3316,2025-03-13T20:13:54Z,Other,https://github.com/facefusion/facefusion
tornado,tornadoweb,21852,5526,2025-03-04T16:31:54Z,Apache License 2.0,https://github.com/tornadoweb/tornado
ungoogled-chromium,ungoogled-software,21817,897,2025-03-13T13:17:17Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/ungoogled-software/ungoogled-chromium
LLaVA,haotian-liu,21805,2395,2024-08-12T09:52:38Z,Apache License 2.0,https://github.com/haotian-liu/LLaVA
kotaemon,Cinnamon,21663,1700,2025-02-14T14:40:49Z,Apache License 2.0,https://github.com/Cinnamon/kotaemon
minGPT,karpathy,21558,2796,2024-08-15T04:09:40Z,MIT License,https://github.com/karpathy/minGPT
serve,jina-ai,21425,2219,2025-03-12T15:29:22Z,Apache License 2.0,https://github.com/jina-ai/serve
OSX-KVM,kholia,21320,1913,2024-10-10T06:13:13Z,N/A,https://github.com/kholia/OSX-KVM
chinese-independent-blogs,timqian,21315,2533,2025-03-12T08:57:52Z,MIT License,https://github.com/timqian/chinese-independent-blogs
saleor,saleor,21266,5606,2025-03-14T14:08:08Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/saleor/saleor
babyagi,yoheinakajima,21185,2778,2024-11-06T19:51:38Z,N/A,https://github.com/yoheinakajima/babyagi
chatgpt-retrieval-plugin,openai,21143,3693,2024-07-04T22:00:16Z,MIT License,https://github.com/openai/chatgpt-retrieval-plugin
loguru,Delgan,21063,720,2025-03-01T20:21:06Z,MIT License,https://github.com/Delgan/loguru
Gooey,chriskiehl,21012,1027,2025-03-13T00:09:11Z,MIT License,https://github.com/chriskiehl/Gooey
DeepSeek-Coder,deepseek-ai,20991,2353,2024-05-21T09:52:58Z,MIT License,https://github.com/deepseek-ai/DeepSeek-Coder
magic-wormhole,magic-wormhole,20957,670,2025-03-14T04:30:25Z,MIT License,https://github.com/magic-wormhole/magic-wormhole
ddia,Vonng,20940,4339,2025-02-21T02:05:51Z,Creative Commons Attribution 4.0 International,https://github.com/Vonng/ddia
