Name,Owner,Stars,Forks,Last Updated,License,URL
grok-1,xai-org,50234,8368,2024-08-30T04:17:25Z,Apache License 2.0,https://github.com/xai-org/grok-1
professional-programming,charlax,47408,3762,2025-03-08T20:02:34Z,MIT License,https://github.com/charlax/professional-programming
PaddleOCR,PaddlePaddle,47249,8059,2025-03-10T14:10:24Z,Apache License 2.0,https://github.com/PaddlePaddle/PaddleOCR
big-list-of-naughty-strings,minimaxir,46992,2152,2024-04-18T03:26:59Z,MIT License,https://github.com/minimaxir/big-list-of-naughty-strings
30-Days-Of-Python,Asabeneh,45042,8609,2025-02-11T09:58:01Z,N/A,https://github.com/Asabeneh/30-Days-Of-Python
pandas,pandas-dev,44818,18327,2025-03-12T16:51:22Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pandas-dev/pandas
Deep-Live-Cam,hacksider,44601,6576,2025-03-06T06:05:28Z,GNU Affero General Public License v3.0,https://github.com/hacksider/Deep-Live-Cam
LLaMA-Factory,hiyouga,43902,5371,2025-03-12T19:31:12Z,Apache License 2.0,https://github.com/hiyouga/LLaMA-Factory
Fooocus,lllyasviel,43744,6612,2025-01-24T10:55:35Z,GNU General Public License v3.0,https://github.com/lllyasviel/Fooocus
text-generation-webui,oobabooga,42850,5525,2025-03-12T19:11:25Z,GNU Affero General Public License v3.0,https://github.com/oobabooga/text-generation-webui
browser-use,browser-use,42361,4308,2025-03-11T06:13:25Z,MIT License,https://github.com/browser-use/browser-use
GPT-SoVITS,RVC-Boss,42181,4699,2025-03-05T10:22:01Z,MIT License,https://github.com/RVC-Boss/GPT-SoVITS
autogen,microsoft,41285,6141,2025-03-12T19:18:34Z,Creative Commons Attribution 4.0 International,https://github.com/microsoft/autogen
vllm,vllm-project,41242,6216,2025-03-12T18:42:27Z,Apache License 2.0,https://github.com/vllm-project/vllm
odoo,odoo,41221,26774,2025-03-12T19:42:29Z,Other,https://github.com/odoo/odoo
python-patterns,faif,41051,6957,2024-09-05T20:53:59Z,N/A,https://github.com/faif/python-patterns
ChatGLM-6B,THUDM,41026,5228,2024-06-27T04:05:25Z,Apache License 2.0,https://github.com/THUDM/ChatGLM-6B
